Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Tweeter ID2
John Kennedy,@SenJohnKennedy,2021-05-21T21:29:51.000Z,True,"Louisianians fall down 7 times and get up 8—even when floods come on the heels of hurricanes. 
I saw that firsthand today when I caught up with heroes like Ms. Geraldine in Carencro.",6.2K,1.2K,7.3K,0,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1395854377278218242,tweet_id:1395854377278218242,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2024-03-21T19:43:20.000Z,True,"The Biden admin is again weaponizing the tax code against American energy producers.
The president’s plan would raise energy prices for Louisiana families even higher.",68,90,281,12K,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1770899009579696214,tweet_id:1770899009579696214,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2024-03-21T19:37:54.000Z,True,"No matter what the Obama judge says, illegal immigrants don’t have the right to own a firearm.
Foreign nationals who are in our country illegally are not Americans. Duh.",345,1.2K,4.6K,54K,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1770897644514095378,tweet_id:1770897644514095378,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2024-03-21T19:12:24.000Z,True,"The Senate just unanimously passed my common-sense solution to help the private sector & federal officials work together to better respond to hurricanes and other emergencies.
I’ll keep working to get Louisianians the help they need when disaster strikes.",48,23,176,10K,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1770891225031131487,tweet_id:1770891225031131487,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2021-05-21T21:29:51.000Z,True,"Louisianians fall down 7 times and get up 8—even when floods come on the heels of hurricanes. 
I saw that firsthand today when I caught up with heroes like Ms. Geraldine in Carencro.",6.2K,1.2K,7.3K,0,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1395854377278218242,tweet_id:1395854377278218242,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2024-03-21T19:43:20.000Z,True,"The Biden admin is again weaponizing the tax code against American energy producers.
The president’s plan would raise energy prices for Louisiana families even higher.",68,90,281,12K,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1770899009579696214,tweet_id:1770899009579696214,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2024-03-21T17:30:15.000Z,True,"For a state with a median household income around $58,000, losing $19,000 to Biden-flation is a world of pain.",114,93,442,13K,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1770865517311525371,tweet_id:1770865517311525371,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2024-03-21T15:11:07.000Z,True,"Democrats want to spend $50 TRILLION to become carbon neutral & held a hearing to tell us why.
Dem witness: Carbon dioxide is ""a huge part of our atmosphere.""
Me: ""It’s actually a very small part of our atmosphere."" (0.035%)
Dem witness: ""Well, okay. But, yeah. I don’t know.""",1.7K,5.1K,14K,527K,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1770830505417576612,tweet_id:1770830505417576612,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2024-03-21T14:25:13.000Z,True,Democrats' witnesses support abortion up until the moment  a child is born.,381,511,1.3K,36K,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1770818953322869031,tweet_id:1770818953322869031,@SenJohnKennedy
John Kennedy,@SenJohnKennedy,2024-03-20T21:38:58.000Z,True,"Many Louisianians are still recovering from Hurricane Ida’s damage. 
This $9.4M will help repair electric lines in south Louisiana and support Lafourche Parish Hospital’s continued recovery.",53,16,134,13K,[],[],[],https://pbs.twimg.com/profile_images/1478828894878945282/oc8JVTd1_x96.jpg,https://twitter.com/SenJohnKennedy/status/1770565724446052422,tweet_id:1770565724446052422,@SenJohnKennedy
